  1             301.14
  2             339.16
  3             355.45
  4             338.55
  5             318.29
  6             393.60
  7             312.46
  8             345.45
  9             370.76
  10            283.75
  11            289.53
  12            277.94
  13            346.44
  14            399.13
  15            319.99
  16            366.45
  17            480
  18            324.42
  19            271.37
  20            414.61
  21            400
  22            400
  23            400
  24            400
  25            400
  26            400
  27            400
  28            400
  29            400
  30            400
  31            400
  32            400
  33            400
  34            400
  35            400
  36            400
  37            400
  38            400
  39            400
  40            400
